Song Name,Duration,Album,Artists
Tall Talk,3:51,Convex,Nym
doomsday,3:93,doomsday,"WebsterX, Siren"
Little Feather,3:04,"This Amount Of Songs Almost Broke The Internet, Vol. 1",Andrew Applepie
2 a.m.,3:08,Lost The Album,Cool Calm Pete
Bikes,4:62,Rubblebucket,Rubblebucket
The Contender,3:82,Make The Road By Walking,Menahan Street Band
If I Run,3:38,Mind Out Wandering,"Astronauts, etc."
Boom Bap,4:45,Smokes,Woo Park
Weight of Sound,7:39,Burial Ground,"Stick Figure, TJ O'Neill"
Way With Words,4:35,Earthtones,Bahamas
Wait & See,3:66,Holy Ghost!,Holy Ghost!
Suede,2:91,Yes Lawd!,"NxWorries, Anderson .Paak, Knxwledge"
Gold,4:75,Built On Glass,Chet Faker
Ready To Go,3:7,Daybreaker,Moon Taxi
Debonair,2:67,Debonair,"Limes, aimless"
1901,3:22,Wolfgang Amadeus Phoenix,Phoenix
A Calf Born in Winter,3:48,A Calf Born in Winter,Khruangbin
How Do You Love Me,2:77,Hours Spent Loving You,"Sango, Xavier Omär"
Hammock,3:05,Amanecer,Millionyoung
Baby (Bonus Track),4:79,Mature Themes,"Ariel Pink, DāM-FunK"
Colours In The Sky,4:18,All Possible Futures,"Miami Horror, Cleopold"
Players Holiday,3:3,Donnie Trumpet & Emilio Chestevez,Donnie Trumpet
Driftin',3:22,Good Will Prevail,"GRiZ, Son Little"
Ad Space,2:96,Product 3,Beat Connection
745,3:79,Big Fish Theory,Vince Staples
Ode to Sleep,5:14,Vessel,Twenty One Pilots
Holding on to You,4:4,Vessel,Twenty One Pilots
Migraine,3:98,Vessel,Twenty One Pilots
House of Gold,2:73,Vessel,Twenty One Pilots
Car Radio,4:46,Vessel,Twenty One Pilots
Semi-Automatic,4:23,Vessel,Twenty One Pilots
Screen,3:82,Vessel,Twenty One Pilots
The Run and Go,3:82,Vessel,Twenty One Pilots
Fake You Out,3:86,Vessel,Twenty One Pilots
Guns for Hands,4:56,Vessel,Twenty One Pilots
Trees,4:46,Vessel,Twenty One Pilots
Truce,2:38,Vessel,Twenty One Pilots
"Kick, Push",4:24,Lupe Fiasco's Food & Liquor,Lupe Fiasco
Tropics (Erase Traces),5:17,The Waterfall,My Morning Jacket
One Headlight,5:21,Bringing Down The Horse,The Wallflowers
Winter,4:77,Careful Kid,Yabadum
They Don't Love You Like I Do,4:0,Vision,Maximum Love
The People Tree,4:24,The Spirit Of Apollo,"N.A.S.A., David Byrne, Chali 2na, Gift Of Gab, Z-Trip"
Close Your Eyes,3:8,They Die By Dawn and Other Short Stories,"The Bullitts, Jay Electronica, Lucy Liu"
Spiral,3:8,West End Coast,Young Gun Silver Fox
Death Spiral,5:14,Dirty Projectors,Dirty Projectors
"Those Who Can't, Cheat",4:09,No NOW,Clarence Clarity
Cheese,3:72,Cheese,The Floozies
Any Place,4:02,Earthtones,Bahamas
Nujabes,1:66,Tokyo Dawn,Madwreck
Mr. Turtles Cloud Kingdom,5:23,Pattern Integrities,Papadosio
The Lane,4:07,Exchange,The JuJu Exchange
Genius of Love,5:57,Tom Tom Club,Tom Tom Club
Prelims,4:62,Grind / Prelims,Les Sins
Peacemakers,5:81,Brown Sauce,Marcus Marr
Am Gone,4:91,Gist Is,Adult Jazz
Rabbit One,3:56,Sunrise On The Sufferbus,Masters Of Reality
Love - Instrumental,3:24,The Shining - The 10th Anniversary Collection,J Dilla
Golden Light - Skeletron Remix,6:78,Golden Light,STRFKR
Feel It Still - Medasin Remix,3:24,Feel It Still (Medasin Remix),"Portugal. The Man, Medasin"
Electric (feat. Khalid),4:11,Electric (feat. Khalid),"Alina Baraz, Khalid"
Go Robot,4:4,The Getaway,Red Hot Chili Peppers
Mi Negrita,3:41,Mala,Devendra Banhart
So Unfair,1:44,So Unfair,Whize
Got It Bad,3:43,Leisure,LEISURE
Fat Lady,2:86,Sure Sure,Sure Sure
Hands of Time,5:74,Juicy Fruit,"Kraak & Smaak, Alxndr London"
Tattered,3:26,Cowboy Stories,Delicate Steve
Kasey's Bones (feat. Neal Casal) - Edit,21:09,Interludes For The Dead (feat. Neal Casal),"Circles Around The Sun, Neal Casal"
Home,4:47,Beat Tape 2,Tom Misch
Drowning - Dave Glass Animals Remix,4:01,Goddess (Remixes),"BANKS, Dave Glass Animals"
Smoke a Little Tree,2:03,Ladyfriends (A Stoner Love Album),Netherfriends
Below The Valleys,3:02,Album 2,Louis Cole
Theskyisfalling,4:33,Theskyisfalling,Heiruspecs
Heartbeat,2:79,Outlines,AM & Shawn Lee
kometostai.aintreallynootherwaytoputitro,1:23,Hud Dreems,Knxwledge
On the Rise,4:74,Blood from a Stone,Eric Krasno
Realize,3:1,ART,Benny Sings
Summit (feat. Ellie Goulding),6:23,Bangarang EP,"Skrillex, Ellie Goulding"
Zero,3:8,Plural,Electric Guest
Right Kind,4:64,GLAM,Busty and the Bass
Reading Signs,3:5,Alix,Generationals
The Harlem Barber Swing,2:55,The Harlem Barber Swing,Jazzinuf
Empty Bottles of Water,3:49,O.S.T.,People Under The Stairs
Rhythm Section,2:1,Journal | Extended,Dday One
B.T.,3:95,Won't Be Coming Back,The Dip
Mucho,6:56,Megagem,Dopapod
Feedback Delicates,4:99,Brunei,Vinyl Williams
Little Dreamer,3:96,Wave Like Home,Future Islands
Manila,3:21,Portraits Outtakes,Maribou State
From the Dead,4:72,Don't Know What's Normal,Shintaro Sakamoto
Sticky July,6:41,All Purpose Music,Butcher Brown
Football Head,3:75,Pleasure Palette,Flamingosis
Goodbye Baby,2:53,Goodbye Baby,The Walters
Indian Summer,4:14,Indian Summer,Jai Wolf
Wikipedia,3:33,Wikipedia,Jean Deaux
Doing Good,4:18,Blossom (Deluxe),Milky Chance
Live Out Your Life,3:23,The Crusade,TEK.LUN
Blessings,2:08,No More Favors,"TEK.LUN, DrewsThatDude, Gravez"
Alone Again,4:74,Melt,The Pass
Strings Attached,4:13,Strings Attached (with Kiyoshi Kitagawa & Toni Moreno),"Dan Rose, Kiyoshi Kitagawa, Toni Moreno"
Stay Happy,4:18,Hug Of Thunder,Broken Social Scene
Water,4:67,Need Your Light,"Ra Ra Riot, Rostam"
Better Left Unsaid,4:3,Queue: The Mixtape,Stoop Kids
Leonard's Lake,3:85,Oblivion Access,Lil Ugly Mane
The Getaway,3:73,French Exit,TV Girl
Promise Land,3:75,A Humble Masterpiece,The O'My's
3 Ways,3:59,Sook Prise,AQUA STONE THRONE
Apogee - RJD2 Remix,4:68,Awake (Deluxe Version),"Tycho, RJD2"
Juniper,3:45,Yardboat,New Madrid
Reason Don't Define,5:13,Supply,Parallelephants
Moving Pictures,3:58,Sonata De Grillo,Richard Houghten
Virginia Wolf,4:13,Stro Elliot,Stro Elliot
There's A Proper Time And Procedure For Every Matter,3:53,In Full View,Ray Barbee
Way Back,3:0,Morning After,Rayana Jay
Morning Dew,3:95,Morning Dew,Matt Quentin
Sweet Time,4:19,Sweet Time,Raveena
Something Foreign,2:54,November,"SiR, ScHoolboy Q"
Le Sud,3:09,Chillhop Essentials Fall 2017,"L'Indécis, Various Artists"
Down Down Down,3:63,The Expendables,The Expendables
Sweet Things - Japanese Edition Bonus Track,3:1,Key Change - Japan Version,Mocky
Suzuki,6:07,Suzuki,Tosca
Hologram,8:15,Ride into the Unknown EP,Bedouin
Dramamine,5:7,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse
Camp Adventure,3:11,Management,"Delta Sleep, Natalie Evans"
Jesus Bill!,3:75,Management,Delta Sleep
Interlude,0:6,Management,Delta Sleep
16:40am,5:92,Management,Delta Sleep
Cartouche,4:67,We Are But Hunks Of Wood,Little People
Never Be the Same,4:33,Never Be the Same,Millionyoung
You’re So Very Far Away,2:98,Lifenotes,Clem Leek
Behind the World,4:11,Clear Language,Balmorhea
Perfect Instance,4:22,Perfect Instance,City of the Sun
Intro,0:66,Delicate Steve Live in Las Vegas,Delicate Steve
Afria Talks to You,2:95,Delicate Steve Live in Las Vegas,Delicate Steve
Many Moods,3:55,Delicate Steve Live in Las Vegas,Delicate Steve
Don't Get Stuck (Proud Elephants),3:2,Delicate Steve Live in Las Vegas,Delicate Steve
Two Lovers,3:45,Delicate Steve Live in Las Vegas,Delicate Steve
Positive Force,5:32,Delicate Steve Live in Las Vegas,Delicate Steve
Wondervisions,3:42,Delicate Steve Live in Las Vegas,Delicate Steve
The Ballad of Speck and Pebble,2:94,Delicate Steve Live in Las Vegas,Delicate Steve
Sugar Splash,5:92,Delicate Steve Live in Las Vegas,Delicate Steve
Wally Wilder,4:52,Delicate Steve Live in Las Vegas,Delicate Steve
Flyin' High,4:4,Delicate Steve Live in Las Vegas,Delicate Steve
Butterfly,4:65,Delicate Steve Live in Las Vegas,Delicate Steve
Harness Your Hopes - (B-side),3:45,Brighten the Corners: Nicene Creedence Ed.,Pavement
Feel It All Around,3:2,Life Of Leisure,Washed Out
Waiting Around For Grace,5:16,Man It Feels Like Space Again,Pond
Floating By,3:7,Mister Mellow,Washed Out
Great Escape,5:11,Paracosm,Washed Out
Fades,4:02,What's the Price,ZuluZuluu
Reflection,3:56,Skywave,Eliot Lipp
O Sol (feat. Tita Lima),3:1,Echo Hotel,"The Echocentrics, Adrian Quesada, Tita Lima"
Smoovie,3:92,You (R) Mine,Ronnie Heart
Coloring Book,5:01,Uncle Tony's Coloring Book,Blockhead
Free,5:5,Made in the shade,The Deadbeats
Family And Genus,5:33,And The War Came,Shakey Graves
Rewind,3:42,Rewind,Hotel Eden
Vowels = space and time,4:35,Visions,Grimes
Vowels,3:1,Vowels,Capital Cities
Market & 8th,2:89,The Next Logical Progression,Gift Of Gab
Speeding Bullets,2:56,Speeding Bullets,Soul Khan
home,1:46,pook,[bsd.u]
Tap Water Drinking,4:22,Lewis Del Mar,Lewis Del Mar
Die Young,3:51,What Now,Sylvan Esso
Tucked In,2:73,Already Out of Time,Stoop Kids
Paradise Waiting,3:09,Relief,Vacationer
The Breeze,3:98,Fate,Dr. Dog
Night Owl,2:8,"I'm the Moon, You're the Wave",Spooky Mansion
Open Your Eyes,3:88,"Being No One, Going Nowhere",STRFKR
(Terminally) Lovesick,3:86,W/ Love,infinite bisous
Look At Where We Are,3:99,In Our Heads,Hot Chip
Gamble,2:44,Midnight Menu,TOKiMONSTA
3 Am,6:59,Swim out Past the Sun,The Heavy Pets
Bae Caught Me Vapin',3:57,On Poppy Island,Fantasy Guys
Dancing at the Blue Lagoon,4:48,Dancing at the Blue Lagoon,Cayucas
Fortune (feat. Sam Lachow),3:23,Escape EP,"Lost Triibe, Sam Lachow"
"Jaime's Song (Music from Radiolab's ""Elements"")",3:29,"Jaime's Song (Music from Radiolab's ""Elements"")",Sylvan Esso
Stray (feat. David Shaw),3:73,Identity,"Naughty Professor, David Shaw"
Didn't I (Dave Allison Rework),5:47,Didn't I - EP,"Darondo, Dave Allison"
Grown Man,3:74,Delicious Trouble,Fly Moon Royalty
$Dreams,3:57,Intoxication,Max Frost
Turncoat,3:3,LoveJoys,Pickwick
Meet the Frownies,4:01,Meet the Frownies,Mr Twin Sister
World Go Round,6:64,The Universe Inside,STS9
Meet Me in the City,3:64,Chulahoma,The Black Keys
Rainbows,2:82,Skyscraper Anonymous,Yung Bae
Obvs,3:85,In Colour,Jamie xx
Jesus Christ,5:3,The Devil And God Are Raging Inside Me,Brand New
Baby Pa - Instrumental,4:33,The Original Baby Pa (Instrumentals),"Pete Rock, Deda"
I'll Fight,4:37,Wilco (The Album),Wilco
Strip Mine,3:12,Banshee,The Cave Singers
Almost Like the Blues,3:47,Popular Problems,Leonard Cohen
"Henrietta, Indiana",3:73,Sermon on the Rocks,Josh Ritter
Saturdays,3:63,Bright Like Neon Love,Cut Copy
Money,4:91,Needs,Giraffage
Four Cypresses,4:8,Painted Ruins,Grizzly Bear
Answer,3:86,Three,Phantogram
You’ve Got a Woman,3:22,You've Got a Woman / Gonna Hurry (As Slow as I Can),Whitney
Locket,5:31,Locket,Crumb
Everything Hits at Once,4:07,Girls Can Tell,Spoon
Black Mud,2:16,Brothers,The Black Keys
Uvaje'd,4:17,Uvaje'd,Allan Kingdom
Moonstruck,3:1,Mean Love,Sinkane
Higher Now,5:49,Drakkar Nowhere,Drakkar Nowhere
Earthquake Weather,4:43,Guero,Beck
中途,4:0,工作,Elephant Gym
No Depression,3:12,Earthtones,Bahamas
So Free,7:1,Earthtones,Bahamas
Vultures Of Culture,8:32,On The Verge,Nahko And Medicine For The People
Puffin',2:02,1993,emune
Go Slow,3:94,Volta,Boogie Belgique
Your Sweet Touch,3:88,Barchords,Bahamas
Japanese Ceremonial Tea (Interlude),2:89,Golden Age - EP,The Electric Sons
Flowers,3:13,Vibes 3,The Deli
Supreme,3:02,Magnifique,Ratatat
The Root,3:58,Cirqlation,Magna Carda
More Like Jason,4:02,Little Tybee,Little Tybee
This Town (feat. Sasha Alex Sloan),3:37,Stargazing - EP,"Kygo, Sasha Alex Sloan"
Whole Wide World,2:59,Pink Strat,Bahamas
Oblivion,5:96,Pattern Integrities,Papadosio
Dye,5:29,Awake,Tycho
Timeless (feat. Carlile),3:58,Minds Rising,"Manic Focus, Carlile"
Baralku,3:42,Baralku,Emancipator
Threes,5:55,Pattern Integrities,Papadosio
Jhana,4:76,Vega,il:lo
Film Burn,4:65,Eighty One,"Yppah, Anomie Belle"
Can't Rock My Dream Face,4:51,ZONKEY,Umphrey's McGee
Schema,4:85,Descensus,Circa Survive
Late Night Morning Light,2:1,Bye Bye 17,Har Mar Superstar
I Know How You Get,4:84,I Know How You Get,Mk.gee
Play That Funky Music,5:04,Gems EP,The Lagoons
Mona June (feat. Angela Hunte),3:64,Top of the World,"Slightly Stoopid, Angela"
Every Single Thing,2:59,Fresh Air,HOMESHAKE
Headwiggle,4:32,Texas Thunder Soul 1968-1974,Kashmere Stage Band
V Neck Sweater,2:59,What Happened To Television?,The Greyboy Allstars
Cold Blooded,3:72,The Story of Sonny Boy Slim,Gary Clark Jr.
Blame It on My Youth,3:19,Blame It on My Youth,Brothers From Another
BULLETS (feat. Little Dragon),4:98,99.9%,"KAYTRANADA, Little Dragon"
Savage Night at the Opera,4:39,Kaputt,Destroyer
The Journey,4:45,Beat Tape 2,Tom Misch
Rio,4:54,EP,Orangutang
If I Ever Feel Better,4:44,United,Phoenix
All I've Ever Known,6:27,Bahamas is Afie,Bahamas
Gravity,4:1,Continuum,John Mayer
Curtain Call,3:95,Homunculus,TAUK
Anytime,4:6,Anytime EP,SunSquabi
F.U.,4:68,Psychology,Pigeons Playing Ping Pong
Dirty Mouth,5:95,Homunculus,TAUK
Find Your Cloud,8:61,T.E.T.I.O.S.,Papadosio
Rising Son,4:73,Rising Son,Takuya Kuroda
Masks,3:8,Young Lore,Night Riots
No Response,4:02,Armistice,Mutemath
Hot Love,3:16,Leisure,LEISURE
Cocaine Blues (Extended),6:68,Cocaine Blues,Escort
Good Disease,4:39,Hinterland,"Aim, Stephen Jones"
Mr. Scatterbrained,3:27,Mr. Scatterbrained,The Bishops 
Like What,3:79,Like What,Tennyson
Portal to an Empty Head,6:83,Otherwise Law Abiding Citizens,The Disco Biscuits
Easy Does It,1:73,Platypus,Falside
Different State of Mind,3:75,Different State of Mind,Kid Bloom
Current Carry,3:91,Complete Strangers,Vetiver
Breezin,2:74,Breezin,Del Playa
Them Changes,3:12,The Beyond / Where the Giants Roam,Thundercat
Life,5:52,"Bleed Gold, Piss Excellence",Cherub
Gibraltar,5:27,SCHICK SCHOCK,Bilderbuch
Mindshift,6:11,Collisions,TAUK
I'm In Love - Poolside Remix,6:39,I'm In Love,"Fool's Gold, Poolside"
She,4:33,She,Cocainejesus
Back 2 U (Remix) [feat. Sisters],3:89,Back 2 U (Remix) [feat. Sisters],"Sol, SISTERS"
Sanctuary,2:67,Sanctuary,DJ Grumble
Brighter End of Dark,6:56,Voyage,De Lux
Lovers Rock,3:57,French Exit,TV Girl
Carl Sagan,3:88,Pennied Days,Night Moves
Black Rainbows,2:5,Hawaii: Part II,Miracle Musical
Say U Won't,3:17,Good Love,Brasstracks
Skylight,3:77,"Beatz & Pieces, Vol. 1",Gramatik
Impressive,3:6,7,Blended Babies
Order of the Golden Dawn,4:28,Righteous Fists of Harmony,Daedelus
Gone Bloom,3:19,Gone Bloom,Scotch Mist
Echolocation,3:91,Installation,LITE
All The Time,3:92,Bahamas is Afie,Bahamas
Stop Me (Stop You),8:26,Stop Me,Nick Murphy
Brighter,4:68,Bloom,RÜFÜS DU SOL
Radio - Remix,4:8,Radio,"Backini, Droop Capone, Product01"
Summer Time,3:8,Gateway Drugs,Gateway Drugs
Live Well,4:16,So Long Forever,Palace
Boogie No. 69,4:15,Velvet b/w Boogie No. 69,BADBADNOTGOOD
Yesterday,3:51,Yesterday,Swim Mountain
Hallucinating,3:64,Hallucinating,Elohim
Vestiges,4:97,Many Moons,Martin Courtney
Future Love (We All Make Mistakes),3:73,Sway,The Palms
SoCal,2:01,SoCal,Dom Peluso the R.A.M
Love the Night Away - Tiedye Remix,7:21,Dj Kaos Remixed,"DJ Kaos, Tiedye"
Aruarian Dance,4:29,"Songs in the Key of Nujabes, Vol. 1",DJ Badu
anemone,3:8,fabulist,slenderbodies
Lester,3:67,Growl Pop,Dan & Drum
Under My Skin,3:15,Hemispheres,"Otis Junior, Dr. Dundiff, Jim James"
Seasons (Waiting On You),3:77,Singles,Future Islands
Meditate (feat. J.I.D.),4:63,Rags,"EARTHGANG, JID"
Lovely,3:61,Bohdi,Bohdi
Dissolve,5:53,A Good Look,Private Island
La Luna (feat. Maceo Haymes),2:17,Sweet Asl.,"Burns Twins, Maceo Haymes"
East Coast Women,3:92,Most Times EP,Shoos Off
The Well,3:83,Riders in the Hills of Dying Heaven,Campdogzz
Spiritual State (feat. Uyama Hiroto),6:53,Spiritual State,"Nujabes, Uyama Hiroto"
Weird Circles,3:09,X'ed Out,Tera Melos
Runnin' (feat. Busty and the Bass),3:51,Runnin' (feat. Busty and the Bass),"Free n Losh, Busty and the Bass"
June Gloom.,2:4,June Gloom.,Prima
Fantasy - Single Version,3:77,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire"
Outré Lux (feat. Madison McFerrin),4:02,Onism,"Photay, Madison McFerrin"
Aries,2:0,Labyrinths,"Daedelus, Teebs, Bass Sekolah"
Henry,6:09,Peace Orchestra,Peace Orchestra
Under the Light,4:76,Voyager,FLEECE
Low Rider,1:0,Sessions - 2,David Cutter Music
Verdwijnen,3:97,Het Grote Gedoe 2: Angst & Walging,"Faberyayo, Rimer London"
You Stole,6:0,Daisy,Brand New
Waste,4:6,Science Fiction,Brand New
Dustbusters,6:62,Management,Delta Sleep
Sea Dragon,5:58,Currents,Covet
Sugar for the Pill,4:52,Slowdive,Slowdive
Wordless Chorus,4:21,Z,My Morning Jacket
Nancy From Now On,3:9,Fear Fun,Father John Misty
Juice,3:27,Juice,Chromeo
Evergreen,1:69,The Migration,Scale The Summit
Fade,2:62,Fade,Knowmadic
Petrichor,2:27,Blank Space,Nohidea
春雨(Sampling:陰天),4:45,工作,Elephant Gym
Astral Plains,4:47,Astral Plains,Via Luna
Square-Shaped Spirals,2:96,Killer Tofu,Stage Kids
The Seven Pillars of Gulu,3:49,Killer Tofu,Stage Kids
The Minotaur,3:64,Killer Tofu,Stage Kids
12:14:16,3:31,Killer Tofu,Stage Kids
Don't Blame Yourself,8:22,Star Stuff,Chaz Bundick Meets The Mattson 2
405,3:34,Without a Sound,The Main Squeeze
"Me, Myself and Mary Jane",3:55,"Me, Myself & Mary Jane",Jetpack Jones
Parade,4:26,Vistas,Iris Temple
Skipping Rocks,4:17,Rock Creek Park,Oddisee
Groovy Prayers,4:51,Book of Creation,Sinitus Tempo
Kiwi,8:49,Pleasure,Pigeons Playing Ping Pong
Magnolia,4:79,Plateau Vision,Lushlife
ZON.,1:9,PUF,SwuM
Grey's Groove (feat. Karl Denson),5:33,15 Years of West Coast Cool,"Greyboy, Karl Denson"
Natalie Wood,4:0,Natalie Wood,TV Girl
Tyrone,5:21,"Chapter 2: Learning: Early Recordings, B-Sides, Covers, Y Mas",My Morning Jacket
Daydream,3:35,Daydream feat. Joba,"Medasin, Joba"
Upward Swing,3:35,Mind Out Wandering,"Astronauts, etc."
Wander With Me,4:79,Beat Tape 2,"Tom Misch, Carmody"
Beach Comber,4:47,Real Estate,Real Estate
Mary,3:3,Trick,Alex G
Que Sera,2:73,Tales of the Forgotten Melodies,Wax Tailor
Gemini,4:39,Gemini,Hoops
Run,5:28,Thirteen013 SummerDreams,Jeff Cormack
De Janeiro,3:08,Rio,Bodikhuu
Fade Out,4:34,Fade Out,"CAPYAC, RuDi Devino"
Do Your Dance,6:44,Good Future,EMEFE
While You See A Chance,5:22,Arc Of A Diver,Steve Winwood
Obscured by Clouds,3:07,Obscured by Clouds,Pink Floyd
Let's Get It On,4:85,Let's Get It On (Expanded Edition),Marvin Gaye
Changed,3:84,Changed,"Hip Dozer, Gildas"
It's the Light,5:43,Good Look for You - EP,Gavin Turek
Moment,3:89,Moment,Wild & Free
Lost in the Moment,4:4,Lost in the Moment,"Darius, WAYNE SNOW"
Tadow,5:03,Tadow,"Masego, FKJ"
Peace of Mind (feat. Faith Evans),4:0,Peace of Mind (feat. Faith Evans),"Little Dragon, Faith Evans"
I'm Good,3:03,I'm Good,"No Suits, Abhi The Nomad"
Ocean Blue,2:43,Hunt for the Wilderpeople (Original Motion Picture Soundtrack),Moniker
Arrival,1:58,Israeli Salad,The Alchemist
Parade,5:42,Still Life,Kevin Morby
Feel Good (feat. Russ Liquid),3:77,Above Water,"Gibbz, Russ Liquid"
Didn't I,4:25,Cholo Soul,Los Stellarians
Electricity,3:5,Since I Left You,The Avalanches
Hey Momma',4:18,Kay Kay and His Weathered Underground,Kay Kay and His Weathered Underground
Esther Reed,4:6,Esther Reed,James Supercave
Eats the Light,5:72,Eat the Light,Lotus 
These Days,3:99,These Days,Manwolves
Dark Days,3:01,Sunlit Youth,Local Natives
The Number 4,3:69,The Infamous Bill,Khruangbin
We're All Gonna Die,5:08,We're All Gonna Die,Dawes
Do You Want Love?,7:24,Emotional Freedom Technique,Dave Depper
Letters And Packages,3:35,American Football EP,American Football
The Magdalene,4:03,Dealer,Foxing
Charlie Brown (feat. Blu),3:49,Charlie Brown (feat. Blu),"Scienze, Blu"
Cool Blue,3:86,Clean,The Japanese House
Saw You In A Dream,3:47,Saw You In A Dream,The Japanese House
Find Yourself,2:94,Find Yourself,"Great Good Fine Ok, Before You Exit"
Electric Feel,3:33,Electric Feel,Henry Green
warm blood,4:13,come out. you're hiding,flor
Smile Meditation,4:49,Thrill of the Arts,Vulfpeck
The One With The Tambourine,4:02,American Football EP,American Football
Can't Wait,3:14,Grow,Chon
Tinker Creek,6:09,Hikes,Hikes
Letting Go,3:97,Fantasy EP,Eternity Forever
Black Lipstick,3:82,Black Lipstick,Chicano Batman
Wanderer Wandering,7:74,Complete Surrender,Slow Club
Weather,4:2,No Wings Airline,"WDL, Coco Noir"
Rango II,4:19,Thrill of the Arts,Vulfpeck
Bubble Dream,2:87,Newborn Sun,Chon
Continue?,4:27,Homey,Chon
Fantasy,3:51,Fantasy EP,Eternity Forever
All Alone,3:35,Fantasy EP,Eternity Forever
Handmade Cities,4:75,Handmade Cities,Plini
Giant Tortoise,4:21,Hobo Rocket,Pond
Night On the Sun,9:36,Night On the Sun,Modest Mouse
Shallow Days,4:35,Nia,Blackalicious
Back to Me,3:72,Be Free,Moonchild
Da Funk,3:86,Origami EP,The Geek x Vrv
Way Of The Light,4:4,4th Dimension Rocketships Going Up,Gift Of Gab
Electric Sunrise,5:08,Handmade Cities,Plini
Movies,3:71,Fantasy EP,Eternity Forever
Fantasy,3:54,Fantasy,Eternity Forever
Why Do You Feel,4:11,Down To Earth,"Flight Facilities, Bishop Nehru"
Sit Next to Me,4:05,Sacred Hearts Club,Foster The People
Dirty Harry - Schtung Chinese New Year Remix,3:88,D-Sides,Gorillaz
Highway (Under Construction),4:29,D-Sides,Gorillaz
Enough!!,3:34,We got it from Here... Thank You 4 Your service,A Tribe Called Quest
Tight Rope - Live,4:57,Live at Ancienne Belgique,Yeasayer
It's a Game,4:08,Return to the Moon,EL VY
Caked (Luv n' again),3:23,Most Times EP,Shoos Off
What Went Wrong?,3:71,Bright Moments,Flamingosis
Reverie,4:47,Bloomsday,Esbe
Mama Lion,4:43,Trans-Atlantic Psych Classics Vol.2,The Electric Peanut Butter Company
Groggy,5:83,BOBBY,BOBBY
Let Me Alone,2:12,I Can't Tell You How Much It Hurts,moow
Believe in Me,4:08,Bright Moments,Flamingosis
